customer_id,name,email,purchase_amount
1,Hailey Little,hailey.little@yahoo.com,78.95
2,Mark Luna,mark.luna@gmail.com,830.34
3,Amy Chavez,amy.chavez@hotmail.com,839.99
4,Sandra Holt,sandra.holt@hotmail.com,423.25
5,Ashley Glenn,ashley.glenn@hotmail.com,418.04
6,Megan Evans,megan.evans@hotmail.com,371.34
7,Brooke Davis,brooke.davis@yahoo.com,296.73
8,Linda Ross,linda.ross@gmail.com,776.51
9,Christian Robinson,christian.robinson@yahoo.com,159.41
10,Jennifer Simmons,jennifer.simmons@hotmail.com,49.48
11,Gabriel Preston,gabriel.preston@hotmail.com,277.89
12,Tami Ashley,tami.ashley@yahoo.com,632.72
13,Tami Ashley,james.farmer@yahoo.com,148.23
14,Leon Griffin,leon.griffin@hotmail.com,440.00
15,Justin Anderson,justin.anderson@yahoo.com,718.24
16,Eric George,eric.george@hotmail.com,546.74
17,John Marshall,john.marshall@gmail.com,564.69
18,Angelica Butler,angelica.butler@yahoo.com,843.99
19,Kimberly Davis,kimberly.davis@yahoo.com,815.14
20,Melissa Arellano,melissa.arellano@gmail.com,815.14
21,Robert Avila,robert.avila@hotmail.com,694.43
22,Marcus Long Jr.,marcus.long@hotmail.com,731.94
23,Jeffrey Haley,jeffrey.haley@yahoo.com,707.01
24,Jeffrey Haley,charlotte.hahn@gmail.com,324.07
25,Karen Williams,karen.williams@hotmail.com,433.18
26,Charles Holmes,charles.holmes@gmail.com,465.50
27,Sarah Turner,sarah.turner@gmail.com,178.06
28,Laura Lopez,laura.lopez@hotmail.com,763.78
29,Bryan Brown,bryan.brown@yahoo.com,486.36
30,Michelle Erickson,michelle.erickson@gmail.com,998.18
31,Rachel Weaver,rachel.weaver@hotmail.com,365.23
32,Andrew Lopez,andrew.lopez@gmail.com,693.97
33,Brent Young,andrew.lopez@gmail.com,777.45
34,Christopher Arnold,christopher.arnold@hotmail.com,777.45
35,Derek Wolfe,derek.wolfe@hotmail.com,982.73
36,Allison Meyer,allison.meyer@yahoo.com,495.32
37,Richard Baird,richard.baird@yahoo.com,146.22
38,Desiree Moreno,richard.baird@yahoo.com,439.51
39,William Johnson,william.johnson@hotmail.com,53.99
40,William Clark,william.clark@hotmail.com,22.66
41,Alyssa Price,alyssa.price@hotmail.com,578.64
42,Jacqueline Boyer,jacqueline.boyer@gmail.com,887.69
43,Justin Patterson,INSUFFICIENT_DATA,787.80
44,Thomas Johnston,thomas.johnston@yahoo.com,93.73
45,Amy Vincent,amy.vincent@gmail.com,941.47
46,Nancy Miles,nancy.miles@gmail.com,167.58
47,marissanash,marissa.nash@yahoo.com,536.33
48,Carrie Lara,carrie.lara@gmail.com,224.28
49,William Doyle,william.doyle@gmail.com,379.20
50,Jason Brewer,jason.brewer@gmail.com,506.09
